,exp,wks,bluecol,ind,south,smsa,married,sex,union,ed,black,lwage,wage
991,38,47,no,1,no,yes,yes,male,no,16,no,6.8773,970.0038107
992,39,47,no,1,no,yes,yes,male,no,16,no,6.8773,970.0038107
993,40,47,no,1,no,yes,yes,male,no,16,no,6.9613,1055.004172
994,41,47,no,1,no,yes,yes,male,no,16,no,7.10906,1222.997388
995,34,50,yes,1,no,yes,yes,male,no,12,no,6.37161,584.9989194
996,35,49,yes,1,no,yes,yes,male,no,12,no,6.47697,649.9984641
997,36,49,yes,1,no,yes,yes,male,no,12,no,6.58617,724.9988002
998,37,49,yes,1,no,yes,yes,male,no,12,no,6.68461,799.9986179
999,38,48,yes,1,no,yes,yes,male,no,12,no,6.81344,909.9958145
1000,39,48,yes,1,no,yes,yes,male,no,12,no,6.8773,970.0038107
1001,40,48,yes,1,no,yes,yes,male,no,12,no,6.96602,1059.995562
1002,7,49,no,1,no,yes,yes,male,no,14,no,6.23048,507.9992646
1003,8,50,no,1,no,yes,yes,male,no,14,no,6.30992,550.000947
1004,9,49,no,1,no,yes,yes,male,no,14,no,6.39693,600.0002069
1005,10,49,no,1,no,no,yes,male,no,14,no,6.62007,749.9975951
1006,11,49,no,1,no,no,yes,male,no,14,no,6.77422,874.9965994
1007,12,48,no,1,no,no,yes,male,no,14,no,6.74993,853.9989805
1008,13,48,no,1,no,no,yes,male,no,14,no,7.17012,1300.000594
1009,19,48,no,0,no,yes,yes,male,no,16,no,6.77422,874.9965994
1010,20,49,no,1,no,yes,yes,male,no,16,no,6.90575,997.9967302
1011,21,49,no,1,no,yes,yes,male,no,16,no,7.31322,1499.999419
1012,22,49,no,0,no,yes,yes,male,no,16,no,7.49554,1799.996501
1013,23,49,no,0,no,yes,yes,male,no,16,no,6.91374,1006.002665
1014,24,49,no,1,no,yes,yes,male,no,16,no,7.10988,1224.000657
1015,25,49,no,0,no,yes,yes,male,no,16,no,7.39817,1632.993316
1016,36,48,no,1,no,no,yes,male,no,15,no,6.90575,997.9967302
1017,37,48,no,1,no,no,yes,male,no,15,no,6.90575,997.9967302
1018,38,48,no,1,no,no,yes,male,no,15,no,7.1309,1250.001462
1019,39,48,no,1,no,no,yes,male,no,15,no,7.17012,1300.000594
1020,40,48,no,1,no,no,yes,male,no,15,no,7.24423,1400.003478
1021,41,48,no,1,no,no,yes,male,no,15,no,7.31322,1499.999419
1022,42,48,no,1,no,no,yes,male,no,15,no,7.40853,1649.999065
1023,12,47,no,1,no,no,yes,male,no,12,no,6.47697,649.9984641
1024,13,48,no,1,no,no,yes,male,no,12,no,6.61338,744.9968573
1025,14,48,no,1,no,no,yes,male,no,12,no,6.72143,830.0035684
1026,15,48,no,0,no,no,yes,male,no,12,no,7.00307,1100.004995
1027,16,47,no,1,no,no,yes,male,no,12,no,7.00307,1100.004995
1028,17,49,no,1,no,no,yes,male,no,12,no,7.19818,1336.995217
1029,18,47,no,1,no,no,yes,male,no,12,no,7.21008,1353.000503
1030,4,45,yes,0,no,yes,yes,male,no,14,no,5.75257,314.9991688
1031,5,50,no,0,no,yes,yes,male,no,14,no,5.75257,314.9991688
1032,6,50,no,0,no,yes,yes,male,no,14,no,6.23441,509.9996299
1033,7,47,no,0,no,yes,yes,male,no,14,no,6.47697,649.9984641
1034,8,51,no,0,no,yes,yes,male,no,14,no,6.62007,749.9975951
1035,9,50,no,0,no,yes,yes,male,no,14,no,6.95655,1050.004785
1036,10,49,no,0,no,yes,yes,male,no,14,no,6.86693,959.9968469
1037,6,36,no,0,no,yes,yes,male,yes,16,no,6.53669,689.9988977
1038,7,36,no,0,no,yes,yes,male,yes,16,no,6.84162,936.004234
1039,8,36,no,0,no,yes,yes,male,yes,16,no,6.68461,799.9986179
1040,9,36,no,0,no,yes,no,male,yes,16,no,6.84055,935.0032451
1041,10,39,no,0,no,yes,no,male,yes,16,no,6.90776,1000.004721
1042,11,36,no,0,no,yes,no,male,yes,16,no,6.85646,949.9981146
1043,12,37,no,0,no,yes,no,male,yes,16,no,6.90776,1000.004721
1044,16,48,yes,0,no,yes,yes,male,yes,12,no,6.27099,529.0008295
1045,17,37,yes,1,no,yes,yes,male,yes,12,no,6.53959,692.0027987
1046,18,32,yes,1,no,yes,yes,male,yes,12,no,6.56667,710.9982724
1047,19,47,yes,1,no,yes,yes,male,yes,12,no,6.59578,731.9996238
1048,20,40,yes,1,no,yes,yes,male,yes,12,no,6.83841,933.0044776
1049,21,42,yes,1,no,yes,yes,male,yes,12,no,6.94022,1032.997449
1050,22,5,yes,1,no,yes,yes,male,yes,12,no,6.80351,901.0042729
1051,20,50,yes,0,yes,no,yes,male,no,16,no,6.30992,550.000947
1052,21,50,yes,0,yes,no,yes,male,no,16,no,6.43294,621.9999423
1053,22,46,yes,0,yes,no,yes,male,no,16,no,6.48158,653.0018746
1054,23,49,yes,0,yes,no,yes,male,no,16,no,6.60665,739.9998622
1055,24,50,yes,0,yes,no,yes,male,no,16,no,6.63332,760.0011907
1056,25,48,no,0,yes,no,yes,male,no,16,no,6.74524,850.0031029
1057,26,46,yes,0,yes,no,yes,male,no,16,no,6.82763,923.0007066
1058,4,50,yes,0,yes,no,yes,male,no,8,yes,5.4161,224.9999095
1059,5,44,yes,0,yes,no,yes,male,no,8,yes,5.45959,235.0010542
1060,6,48,yes,0,yes,no,yes,male,no,8,yes,5.45959,235.0010542
1061,7,43,yes,0,yes,no,no,male,no,8,yes,5.57973,265.0000461
1062,8,6,yes,0,yes,no,no,male,no,8,yes,5.70378,299.9992576
1063,9,6,yes,0,yes,no,no,male,no,8,yes,5.70378,299.9992576
1064,10,35,yes,0,yes,no,no,male,no,8,yes,5.70378,299.9992576
1065,13,49,yes,0,no,yes,yes,male,no,12,no,6.22456,505.0007932
1066,14,37,yes,0,no,yes,yes,male,no,12,no,6.30992,550.000947
1067,15,49,yes,0,no,yes,yes,male,no,12,no,6.30992,550.000947
1068,16,48,yes,0,no,yes,yes,male,no,12,no,6.38519,592.9973914
1069,17,22,yes,0,no,yes,yes,male,no,12,no,6.43455,623.0021688
1070,18,50,yes,0,no,yes,yes,male,no,12,no,6.55108,699.9997655
1071,19,48,yes,0,no,yes,no,male,no,12,no,6.68461,799.9986179
1072,12,50,no,0,yes,yes,no,male,no,17,no,6.74524,850.0031029
1073,13,44,no,0,yes,yes,no,male,no,17,no,6.72743,834.9985598
1074,14,50,no,0,yes,yes,no,male,no,17,no,6.88244,975.0024658
1075,15,45,no,0,yes,yes,yes,male,no,17,no,6.92756,1020.002136
1076,16,44,no,0,yes,yes,no,male,no,17,no,6.89972,991.9969176
1077,17,51,no,0,yes,yes,no,male,no,17,no,7.02731,1126.994913
1078,18,49,no,0,yes,yes,no,male,no,17,no,7.1309,1250.001462
1079,3,49,no,0,no,yes,yes,male,no,16,no,6.52209,679.9980972
1080,4,46,no,0,no,yes,yes,male,no,16,no,6.68461,799.9986179
1081,5,48,no,0,no,yes,yes,male,no,16,no,6.80239,899.995713
1082,6,48,no,0,no,yes,yes,male,no,16,no,7.00307,1100.004995
1083,7,48,no,0,no,yes,yes,male,no,16,no,7.00307,1100.004995
1084,8,48,no,0,no,yes,yes,male,no,16,no,7.27932,1450.001689
1085,9,48,no,1,no,yes,yes,male,no,16,no,7.37776,1600.001747
1086,33,47,no,0,no,no,yes,male,no,13,no,6.65286,774.9976523
1087,34,47,no,0,no,no,yes,male,no,13,no,6.77422,874.9965994
1088,35,47,no,0,no,no,yes,male,no,13,no,6.80239,899.995713
1089,36,47,no,0,no,no,yes,male,no,13,no,6.85646,949.9981146
1090,37,48,no,0,no,no,yes,male,no,13,no,7.00307,1100.004995
1091,38,48,yes,0,no,no,yes,male,no,13,no,7.09008,1200.003797
1092,39,48,yes,0,no,no,yes,male,no,13,no,7.06902,1174.995974
1093,8,48,yes,1,no,no,yes,male,yes,12,no,6.54535,696.0002364
1094,9,51,no,1,no,no,yes,male,yes,12,no,6.45362,634.9968257
1095,10,49,no,1,no,no,yes,male,yes,12,no,6.57786,718.9990238
1096,11,49,no,1,no,no,yes,male,yes,12,no,6.67456,791.9988977
1097,12,50,yes,1,no,no,yes,male,yes,12,no,6.77308,873.9996717
1098,13,50,no,1,no,no,yes,male,yes,12,no,6.86901,961.9957185
1099,14,50,yes,1,no,no,yes,male,yes,12,no,6.90776,1000.004721
1100,29,46,yes,1,no,yes,yes,male,no,12,no,6.63857,764.0016891
1101,30,47,yes,1,no,yes,yes,male,no,12,no,6.68461,799.9986179
1102,31,47,yes,1,no,yes,yes,male,no,12,no,6.7334,839.9984109
1103,32,47,yes,1,no,yes,yes,male,no,12,no,6.88244,975.0024658
1104,33,47,yes,1,no,yes,yes,male,no,12,no,6.9256,1018.004889
1105,34,47,yes,1,no,yes,yes,male,no,12,no,7.04141,1142.998098
1106,35,47,yes,1,no,yes,yes,male,no,12,no,7.08841,1198.001463
1107,30,49,no,1,no,no,yes,male,no,12,no,6.55108,699.9997655
1108,31,49,no,1,no,no,yes,male,no,12,no,6.58617,724.9988002
1109,32,49,no,0,no,no,yes,male,no,12,no,6.65286,774.9976523
1110,33,52,no,1,no,no,yes,male,no,12,no,6.43775,624.9989689
1111,34,48,no,1,no,no,yes,male,no,12,no,6.62007,749.9975951
1112,35,50,no,1,no,no,yes,male,no,12,no,6.80239,899.995713
1113,36,49,yes,1,no,no,yes,male,yes,12,no,6.68461,799.9986179
1114,25,38,no,0,no,yes,yes,male,yes,17,no,6.62007,749.9975951
1115,26,40,no,0,no,yes,yes,male,yes,17,no,6.80239,899.995713
1116,27,39,no,0,no,yes,yes,male,yes,17,no,6.85646,949.9981146
1117,28,38,no,0,no,yes,yes,male,yes,17,no,6.90776,1000.004721
1118,29,39,no,0,no,yes,yes,male,yes,17,no,6.95655,1050.004785
1119,30,39,no,0,no,yes,yes,male,yes,17,no,7.09008,1200.003797
1120,31,35,no,0,no,yes,yes,male,yes,17,no,7.1507,1274.998142
1121,9,50,yes,0,no,no,yes,male,no,12,no,6.10925,450.0010878
1122,10,52,yes,0,no,no,yes,male,no,12,no,6.21461,500.0009508
1123,11,52,yes,0,no,no,yes,male,no,12,no,6.21461,500.0009508
1124,12,52,yes,0,no,no,yes,male,no,12,no,6.5582,705.001549
1125,13,52,yes,0,no,no,yes,male,no,12,no,6.66568,784.9970815
1126,14,46,yes,0,no,no,yes,male,no,12,no,6.86171,954.9987198
1127,15,52,yes,0,no,no,yes,male,no,12,no,6.97073,1064.999917
1128,8,50,yes,0,no,yes,yes,male,no,12,no,5.743,311.9990054
1129,9,38,yes,0,no,yes,yes,male,no,12,no,6.05209,425.0003532
1130,10,49,no,0,no,yes,yes,male,no,12,no,6.07993,436.9986037
1131,11,49,yes,0,no,yes,yes,male,no,12,no,6.30992,550.000947
1132,12,51,yes,0,no,yes,yes,male,no,12,no,6.39693,600.0002069
1133,13,51,yes,0,no,yes,yes,male,no,12,no,6.47697,649.9984641
1134,14,49,yes,0,no,yes,no,male,no,12,no,6.51471,674.9981837
1135,10,50,yes,1,yes,yes,yes,male,yes,12,no,6.04025,419.9980213
1136,11,52,yes,1,yes,yes,yes,male,yes,12,no,6.18415,485.0005379
1137,12,51,yes,1,yes,yes,yes,male,yes,12,no,6.21461,500.0009508
1138,13,49,yes,1,yes,yes,yes,male,yes,12,no,6.30992,550.000947
1139,14,49,yes,1,yes,yes,yes,male,yes,12,no,6.4552,636.0009137
1140,15,50,yes,1,yes,yes,yes,male,yes,12,no,6.52209,679.9980972
1141,16,49,yes,1,yes,yes,yes,male,yes,12,no,6.64249,767.0024534
1142,10,49,yes,1,yes,yes,no,female,no,11,yes,6.07304,433.9980322
1143,11,46,yes,1,yes,yes,no,female,no,11,yes,6.19441,490.0022584
1144,12,50,yes,1,yes,yes,no,female,no,11,yes,6.31897,555.0010469
1145,13,50,yes,1,yes,yes,no,female,no,11,yes,6.39526,598.9990427
1146,14,46,yes,1,yes,yes,no,female,no,11,yes,6.47697,649.9984641
1147,15,45,yes,1,yes,yes,no,female,no,11,yes,6.59715,733.0031505
1148,16,41,yes,1,yes,yes,no,female,no,11,yes,6.69208,805.9969835
1149,37,50,yes,1,no,no,yes,male,yes,12,no,6.17794,481.998017
1150,38,50,yes,1,no,no,yes,male,yes,12,no,6.31716,553.9974035
1151,39,50,yes,1,no,no,yes,male,yes,12,no,6.41182,609.001055
1152,40,50,yes,1,no,no,yes,male,yes,12,no,6.39693,600.0002069
1153,41,40,yes,1,no,no,yes,male,yes,12,no,6.51471,674.9981837
1154,42,48,yes,1,no,no,yes,male,yes,12,no,6.61338,744.9968573
1155,43,45,yes,1,no,no,yes,male,yes,12,no,6.67834,794.9983189
1156,10,50,no,0,no,yes,yes,male,no,15,no,6.71538,824.9972063
1157,11,48,no,0,no,yes,yes,male,no,15,no,6.78559,885.0020842
1158,12,48,no,0,no,yes,yes,male,no,15,no,6.88449,977.003271
1159,13,47,no,0,no,yes,yes,male,no,15,no,7.00307,1100.004995
1160,14,43,no,0,no,yes,yes,male,no,15,no,7.09008,1200.003797
1161,15,49,no,0,no,yes,yes,male,no,15,no,7.17012,1300.000594
1162,16,48,no,0,no,yes,yes,male,no,15,no,7.29302,1470.003411
1163,10,20,yes,0,no,no,no,female,no,10,no,5.01064,150.0007059
1164,11,30,yes,0,no,no,no,female,no,10,no,5.01064,150.0007059
1165,12,36,yes,0,no,no,no,female,no,10,no,5.52146,249.9997705
1166,13,52,yes,0,no,no,no,female,no,10,no,5.66988,289.9997323
1167,14,52,yes,0,no,no,no,female,no,10,no,5.73657,309.9992878
1168,15,29,yes,0,no,no,no,female,no,10,no,5.81413,334.9998218
1169,16,40,yes,0,no,no,no,female,no,10,no,5.81413,334.9998218
1170,3,40,no,0,no,yes,yes,male,no,17,no,6.23245,509.0010096
1171,4,42,no,0,no,yes,yes,male,no,17,no,6.57925,719.9991274
1172,5,44,no,0,no,yes,yes,male,yes,17,no,6.65286,774.9976523
1173,6,48,no,0,no,yes,yes,male,yes,17,no,6.74524,850.0031029
1174,7,48,no,0,no,yes,yes,male,no,17,no,7.49554,1799.996501
1175,8,48,no,0,no,yes,yes,male,no,17,no,8.16052,3500.006134
1176,9,50,no,0,no,yes,yes,male,no,17,no,8.3082,4057.003801
1177,25,50,no,0,yes,no,yes,male,no,17,no,6.90575,997.9967302
1178,26,50,no,0,yes,no,yes,male,no,17,no,6.90575,997.9967302
1179,27,51,no,0,yes,no,yes,male,no,17,no,7.40853,1649.999065
1180,28,51,no,0,yes,no,yes,male,no,17,no,7.46737,1749.998133
1181,29,51,no,0,yes,no,yes,male,no,17,no,7.52294,1849.998302
1182,30,49,no,0,yes,no,yes,male,no,17,no,7.46737,1749.998133
1183,31,50,no,0,yes,no,yes,male,no,17,no,7.57558,1949.990929
1184,24,39,yes,0,yes,no,yes,male,no,9,no,5.67332,290.9990493
1185,25,47,yes,0,yes,no,yes,male,no,9,no,5.7462,312.9990014
1186,26,49,yes,0,yes,no,yes,male,no,9,no,5.82895,340.00149
1187,27,50,yes,0,yes,no,yes,male,no,9,no,6.07993,436.9986037
1188,28,52,yes,0,yes,no,yes,male,no,9,no,5.99146,399.9981812
1189,29,49,yes,0,yes,no,yes,male,no,9,no,5.99146,399.9981812
1190,30,49,yes,0,yes,no,yes,male,no,9,no,6.13773,463.001364
1191,12,51,yes,0,no,yes,no,male,no,12,yes,5.99146,399.9981812
1192,13,51,yes,0,no,yes,no,male,no,12,yes,5.92693,375.0014903
1193,14,50,yes,0,no,yes,no,male,no,12,yes,6.07993,436.9986037
1194,15,49,no,0,no,yes,no,male,no,12,yes,6.07993,436.9986037
1195,16,45,no,0,no,yes,no,male,no,12,yes,6.2634,525.0009121
1196,17,52,no,0,no,yes,no,male,no,12,yes,6.43775,624.9989689
1197,18,28,no,0,no,yes,no,male,no,12,yes,6.55108,699.9997655
1198,10,48,no,1,no,yes,yes,male,no,16,no,6.90575,997.9967302
1199,11,47,no,1,no,yes,yes,male,no,16,no,6.90575,997.9967302
1200,12,47,no,1,no,yes,yes,male,no,16,no,7.22766,1376.996559
1201,13,46,no,1,no,yes,yes,male,no,16,no,7.29302,1470.003411
1202,14,48,no,1,no,yes,yes,male,no,16,no,7.33368,1531.005518
1203,15,49,no,0,no,yes,yes,male,no,16,no,7.57353,1945.997543
1204,16,50,no,0,no,yes,yes,male,no,16,no,7.27101,1438.002102
1205,28,48,no,1,no,yes,yes,male,no,16,no,6.90575,997.9967302
1206,29,46,no,1,no,yes,yes,male,no,16,no,6.90575,997.9967302
1207,30,46,no,1,no,yes,yes,male,no,16,no,7.34601,1549.999675
1208,31,49,no,1,no,yes,yes,male,no,16,no,7.31322,1499.999419
1209,32,44,no,1,no,yes,yes,male,no,16,no,7.55486,1910.002825
1210,33,48,no,1,no,yes,yes,male,no,16,no,7.71869,2250.010136
1211,34,43,no,1,no,yes,yes,male,no,16,no,7.69621,2199.994193
1212,5,28,yes,1,no,yes,no,male,yes,12,no,6.08222,438.0004773
1213,6,40,no,1,no,yes,no,male,yes,12,no,6.51323,673.9999252
1214,7,29,yes,1,no,yes,no,male,yes,12,no,6.62141,751.0032655
1215,8,46,yes,1,no,yes,no,male,yes,12,no,6.6995,811.9997238
1216,9,48,yes,1,no,yes,no,male,yes,12,no,6.79571,894.003777
1217,10,49,yes,1,no,yes,no,male,yes,12,no,6.89669,988.995716
1218,11,48,yes,1,no,yes,no,male,yes,12,no,6.99668,1092.998373
1219,3,49,no,0,no,yes,no,female,no,12,no,5.96615,390.0012717
1220,4,50,no,0,no,yes,no,female,no,12,no,6.11147,451.0011999
1221,5,48,no,0,no,yes,no,female,no,12,no,6.17379,480.0018701
1222,6,49,no,0,no,yes,no,female,no,12,no,6.22059,502.9999144
1223,7,48,no,0,no,yes,no,female,no,12,no,6.28972,539.0023873
1224,8,50,no,0,no,yes,no,female,no,12,no,6.36475,580.9995603
1225,9,49,no,0,no,yes,no,female,no,12,no,6.72743,834.9985598
1226,4,50,yes,0,no,no,yes,male,no,14,no,6.43615,623.9997701
1227,5,50,no,0,no,no,yes,male,no,14,no,6.65929,779.9969427
1228,6,50,no,0,no,no,yes,male,no,14,no,6.74524,850.0031029
1229,7,50,no,0,no,no,yes,male,no,14,no,6.85646,949.9981146
1230,8,50,no,0,no,no,yes,male,no,14,no,6.90776,1000.004721
1231,9,49,no,0,no,no,yes,male,no,14,no,7.1333,1253.005069
1232,10,47,no,0,no,no,yes,male,no,14,no,7.21891,1365.000399
1233,19,49,no,0,no,yes,no,female,no,15,no,6.77422,874.9965994
1234,20,51,no,0,no,yes,no,female,no,15,no,6.82546,920.9999666
1235,21,48,no,0,no,yes,no,female,no,15,no,6.07993,436.9986037
1236,22,49,no,0,no,yes,no,female,no,15,no,6.90776,1000.004721
1237,23,47,no,0,no,yes,no,female,no,15,no,6.21461,500.0009508
1238,24,52,no,0,no,yes,no,female,no,15,no,6.70073,812.9990979
1239,25,50,no,0,no,yes,no,female,no,15,no,6.59304,729.9966901
1240,3,49,yes,1,no,no,yes,male,no,9,no,6.10032,446.0004674
1241,4,48,yes,1,no,no,yes,male,no,9,no,6.15698,472.0004788
1242,5,49,yes,1,no,no,yes,male,no,9,no,6.24222,513.9983216
1243,6,50,yes,1,no,no,yes,male,no,9,no,6.38351,592.0019922
1244,7,51,yes,1,no,no,yes,male,no,9,no,6.42487,617.0006023
1245,8,47,yes,1,no,no,yes,male,no,9,no,6.57228,714.998182
1246,9,49,yes,1,no,no,yes,male,no,9,no,6.75693,859.9979452
1247,20,47,yes,0,no,no,yes,male,no,16,no,5.7462,312.9990014
1248,21,47,yes,0,no,no,yes,male,no,16,no,5.92693,375.0014903
1249,22,49,yes,0,no,no,yes,male,no,16,no,6.01616,410.0011645
1250,23,50,yes,0,no,no,yes,male,no,16,no,5.94803,382.9980891
1251,24,46,yes,0,no,no,yes,male,no,16,no,6.05209,425.0003532
1252,25,48,yes,0,no,no,yes,male,no,16,no,6.32436,558.000579
1253,26,49,yes,0,no,no,yes,male,no,16,no,6.3699,583.999426
1254,11,48,no,0,no,yes,yes,male,no,12,no,6.28972,539.0023873
1255,12,48,no,0,no,yes,yes,male,no,12,no,6.39693,600.0002069
1256,13,50,no,0,no,no,yes,male,no,12,no,6.54535,696.0002364
1257,14,50,no,0,no,yes,yes,male,no,12,no,6.73102,838.0015918
1258,15,51,no,0,no,yes,yes,male,no,12,no,7.49332,1796.004941
1259,16,50,no,0,no,yes,yes,male,no,12,no,6.73102,838.0015918
1260,17,50,no,0,no,yes,yes,male,no,12,no,6.98286,1077.997034
1261,14,46,yes,1,yes,no,yes,male,yes,12,no,6.55108,699.9997655
1262,15,26,no,1,yes,no,yes,male,no,12,no,6.86693,959.9968469
1263,16,50,no,1,yes,no,yes,male,no,12,no,6.9256,1018.004889
1264,17,49,no,1,yes,no,yes,male,no,12,no,7.06476,1170.001137
1265,18,49,yes,1,yes,no,yes,male,no,12,no,7.1309,1250.001462
1266,19,49,yes,1,yes,no,yes,male,no,12,no,7.43838,1699.993999
1267,20,32,yes,1,yes,no,yes,male,yes,12,no,7.14441,1267.003573
1268,8,51,yes,0,yes,no,yes,female,no,14,no,5.85793,349.9988959
1269,9,51,yes,0,yes,no,yes,female,no,14,no,5.8861,359.9985487
1270,10,51,yes,0,yes,no,yes,female,no,14,no,5.99146,399.9981812
1271,11,50,yes,0,yes,no,yes,female,no,14,no,6.02828,415.0006141
1272,12,50,yes,0,yes,no,yes,female,no,14,no,6.10925,450.0010878
1273,13,50,yes,0,yes,no,no,female,no,14,no,6.16331,474.9977181
1274,14,51,yes,0,yes,no,no,female,no,14,no,6.21461,500.0009508
1275,10,36,yes,0,yes,no,no,female,no,8,no,5.42053,225.9988702
1276,11,36,yes,0,yes,no,no,female,no,8,no,5.51745,248.9992788
1277,12,39,yes,0,yes,no,no,female,no,8,no,5.19296,180.0005668
1278,13,36,yes,0,yes,no,no,female,no,8,no,5.34711,210.0005185
1279,14,35,yes,0,yes,no,no,female,no,8,no,5.64191,282.000826
1280,15,38,yes,0,yes,no,no,female,no,8,no,5.65948,286.9993641
1281,16,41,yes,0,yes,no,no,female,no,8,no,5.75257,314.9991688
1282,25,47,yes,1,no,yes,yes,male,no,12,no,6.55393,701.9976104
1283,26,47,yes,1,no,yes,yes,male,no,12,no,6.71538,824.9972063
1284,27,47,yes,1,no,yes,yes,male,no,12,no,6.62407,753.0035935
1285,28,47,yes,1,no,yes,yes,male,no,12,no,6.83087,925.9960787
1286,29,47,yes,1,no,yes,yes,male,no,12,no,6.95655,1050.004785
1287,30,47,yes,1,no,yes,yes,male,yes,12,no,6.7901,889.0024576
1288,31,47,yes,1,no,yes,yes,male,yes,12,no,7.09008,1200.003797
1289,23,48,yes,0,no,no,yes,male,yes,12,no,6.55108,699.9997655
1290,24,49,yes,0,no,no,yes,male,yes,12,no,6.62007,749.9975951
1291,25,48,yes,0,no,no,yes,male,yes,12,no,6.70564,817.0007395
1292,26,48,yes,0,no,no,yes,male,yes,12,no,6.78559,885.0020842
1293,27,46,yes,0,no,no,yes,male,yes,12,no,6.88857,980.9975872
1294,28,46,yes,0,no,no,yes,male,yes,12,no,7.0076,1104.999322
1295,29,47,yes,0,no,no,yes,male,yes,12,no,7.11233,1227.003135
1296,35,45,yes,0,no,yes,yes,male,no,12,no,6.80239,899.995713
1297,36,45,yes,0,no,yes,yes,male,no,12,no,6.85646,949.9981146
1298,37,45,yes,0,no,yes,yes,male,no,12,no,6.98008,1075.004364
1299,38,46,yes,0,no,yes,yes,male,no,12,no,7.09589,1206.996112
1300,39,44,yes,0,no,yes,yes,male,no,12,no,7.48829,1786.993718
1301,40,44,yes,0,no,yes,yes,male,no,12,no,7.45124,1721.997098
1302,41,30,yes,1,no,yes,yes,male,yes,12,no,7.47873,1769.991459
1303,22,47,yes,0,no,yes,no,male,yes,12,no,6.90575,997.9967302
1304,23,49,yes,0,no,yes,yes,male,yes,12,no,6.90575,997.9967302
1305,24,45,yes,0,no,yes,yes,male,yes,12,no,7.11639,1231.994894
1306,25,26,yes,0,no,yes,yes,male,yes,12,no,7.07412,1181.00376
1307,26,22,yes,0,no,yes,yes,male,yes,12,no,7.0579,1162.002397
1308,27,48,yes,0,no,yes,yes,male,yes,12,no,7.02643,1126.003593
1309,28,42,yes,0,no,yes,yes,male,yes,12,no,7.26263,1426.001995
1310,10,49,no,0,no,yes,yes,male,no,12,no,6.62007,749.9975951
1311,11,48,no,0,no,yes,yes,male,no,12,no,6.62007,749.9975951
1312,12,48,no,0,no,yes,yes,male,no,12,no,6.83303,927.998392
1313,13,48,no,0,no,yes,yes,male,no,12,no,6.9256,1018.004889
1314,14,47,no,0,no,yes,yes,male,no,12,no,7.02376,1123.001174
1315,15,46,no,0,no,yes,yes,male,no,12,no,7.06305,1168.002145
1316,16,48,no,0,no,yes,yes,male,no,12,no,7.18311,1316.997759
1317,23,48,no,0,no,yes,yes,male,no,17,no,6.90575,997.9967302
1318,24,48,no,0,no,no,yes,male,no,17,no,6.90575,997.9967302
1319,25,49,no,0,no,no,yes,male,no,17,no,7.04752,1150.003195
1320,26,48,no,0,no,no,yes,male,no,17,no,7.09008,1200.003797
1321,27,48,no,0,no,no,yes,male,no,17,no,7.1309,1250.001462
1322,28,48,no,0,no,no,yes,male,no,17,no,6.99942,1095.997296
1323,29,49,no,0,no,no,yes,male,no,17,no,7.01481,1112.995157
1324,6,51,yes,1,yes,no,yes,male,no,9,no,6.09582,443.9979743
1325,7,51,yes,1,yes,no,yes,male,no,9,no,6.29157,540.0004646
1326,8,50,yes,1,yes,no,yes,male,no,9,no,6.40523,605.0009329
1327,9,50,yes,1,yes,no,yes,male,no,9,no,6.62007,749.9975951
1328,10,49,yes,1,yes,no,yes,male,no,9,no,6.71901,827.9973882
1329,11,50,yes,1,yes,no,yes,male,no,9,no,6.82546,920.9999666
1330,12,50,yes,1,yes,no,yes,male,no,9,no,6.95464,1048.00119
1331,25,50,yes,1,yes,no,yes,male,yes,6,no,6.10032,446.0004674
1332,26,51,yes,1,yes,no,yes,male,yes,6,no,6.29157,540.0004646
1333,27,51,yes,1,yes,no,yes,male,yes,6,no,6.29157,540.0004646
1334,28,51,yes,1,yes,no,yes,male,yes,6,no,6.37161,584.9989194
1335,29,44,yes,1,yes,no,yes,male,yes,6,no,6.47389,647.9995488
1336,30,41,yes,1,yes,no,yes,male,yes,6,no,6.54679,697.0031987
1337,31,42,yes,1,yes,no,yes,male,yes,6,no,6.5903,727.9992369
1338,6,48,no,1,no,yes,yes,male,yes,12,no,6.286,537.0010232
1339,7,49,no,1,no,yes,yes,male,yes,12,no,6.4599,638.9971537
1340,8,42,no,1,no,yes,yes,male,yes,12,no,6.54965,698.9994812
1341,9,15,no,1,no,yes,yes,male,yes,12,no,6.64639,769.9996036
1342,10,44,no,1,no,yes,yes,male,yes,12,no,6.76849,869.9972059
1343,11,47,yes,1,no,yes,yes,male,yes,12,no,6.84162,936.004234
1344,12,44,no,1,no,yes,yes,male,yes,12,no,6.94794,1041.003052
1345,32,48,no,0,no,yes,yes,male,no,16,no,6.90575,997.9967302
1346,33,49,no,0,no,yes,yes,male,no,16,no,6.90575,997.9967302
1347,34,50,no,0,no,yes,yes,male,no,16,no,7.36518,1579.999801
1348,35,48,no,0,no,yes,yes,male,no,16,no,7.42476,1676.997045
1349,36,49,no,0,no,yes,yes,male,no,16,no,7.46737,1749.998133
1350,37,52,no,0,no,yes,yes,male,no,16,no,7.28139,1453.006301
1351,38,50,no,0,no,yes,yes,male,no,16,no,7.49332,1796.004941
1352,11,47,yes,0,no,no,yes,male,yes,12,no,6.54965,698.9994812
1353,12,45,yes,0,no,no,yes,male,yes,12,no,6.83518,929.9957349
1354,13,48,yes,0,no,no,yes,male,yes,12,no,6.79794,895.99963
